,,,,,,,,,,,,Vendor,Dell Inc.
,,,,,,,,,,,,Product,G5 5587
,,,,,,,,,,,,CPU, Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz 
,,,,,,,,,,,,Bogomips,4399.99
,,,,,,,,,,,,Kernel,6.2.0-34-generic
,,,,,,,,,,,,DaemonVegetaRunOnCore,-:-
,,,,,,,,,,,,VegetaFile,pattern/mainnet/stress_test_eth_getTransactionReceipt_14M.tar
,,,,,,,,,,,,VegetaChecksum,63504  2365
,,,,,,,,,,,,GCC version,"gcc (Ubuntu 12.3.0-1ubuntu1~22.04) 12.3.0
Copyright (C) 2022 Free Software Foundation"
,,,,,,,,,,,,Go version,go version go1.20.5 linux/amd64
,,,,,,,,,,,,Silkrpc version,increase_max_data_size_glaze 35378ed83bfd384c9c8ccd73c09da74a55850920
,,,,,,,,,,,,Erigon version, b39f3245d48055627e06e2c508362e77ab766409


Daemon,TestNo,TG-Threads,Qps,Time,Min,Mean,50,90,95,99,Max,Ratio,Error
silk,[1. 1] ,797 ,1,1,  164.85ms, 164.85ms, 164.85ms, 164.85ms, 164.85ms, 164.85ms, 164.85ms ,100.00%,
silk,[1. 2] ,797 ,1,1,  4.814ms, 4.814ms, 4.814ms, 4.814ms, 4.814ms, 4.814ms, 4.814ms ,100.00%,
silk,[1. 3] ,797 ,1,1,  20.697ms, 20.697ms, 20.697ms, 20.697ms, 20.697ms, 20.697ms, 20.697ms ,100.00%,
silk,[1. 4] ,797 ,1,1,  18.52ms, 18.52ms, 18.52ms, 18.52ms, 18.52ms, 18.52ms, 18.52ms ,100.00%,
silk,[1. 5] ,797 ,1,1,  19.632ms, 19.632ms, 19.632ms, 19.632ms, 19.632ms, 19.632ms, 19.632ms ,100.00%,
silk,[2. 1] ,797 ,50,30,  3.903ms, 17.461ms, 11.302ms, 43.548ms, 49.152ms, 61.878ms, 90.936ms ,100.00%,
silk,[2. 2] ,797 ,50,30,  290.48µs, 1.636ms, 1.609ms, 2.221ms, 3.987ms, 4.456ms, 12.384ms ,100.00%,
silk,[2. 3] ,797 ,50,30,  279.26µs, 1.544ms, 1.627ms, 1.98ms, 2.046ms, 5.816ms, 16.639ms ,100.00%,
silk,[2. 4] ,797 ,50,30,  308.126µs, 1.534ms, 1.584ms, 2.11ms, 2.164ms, 2.514ms, 11.878ms ,100.00%,
